year,city,country,avg_temp
1832,Campinas,Brazil,18.94
1833,Campinas,Brazil,19.93
1834,Campinas,Brazil,19.21
1835,Campinas,Brazil,18.62
1836,Campinas,Brazil,18.84
1837,Campinas,Brazil,18.28
1838,Campinas,Brazil,18.72
1839,Campinas,Brazil,18.52
1840,Campinas,Brazil,19.20
1841,Campinas,Brazil,18.89
1842,Campinas,Brazil,19.32
1843,Campinas,Brazil,19.46
1844,Campinas,Brazil,
1845,Campinas,Brazil,
1846,Campinas,Brazil,
1847,Campinas,Brazil,
1848,Campinas,Brazil,
1849,Campinas,Brazil,
1850,Campinas,Brazil,
1851,Campinas,Brazil,19.44
1852,Campinas,Brazil,19.60
1853,Campinas,Brazil,19.61
1854,Campinas,Brazil,19.70
1855,Campinas,Brazil,19.70
1856,Campinas,Brazil,18.79
1857,Campinas,Brazil,19.39
1858,Campinas,Brazil,18.39
1859,Campinas,Brazil,19.05
1860,Campinas,Brazil,19.73
1861,Campinas,Brazil,18.99
1862,Campinas,Brazil,19.01
1863,Campinas,Brazil,18.91
1864,Campinas,Brazil,18.99
1865,Campinas,Brazil,18.95
1866,Campinas,Brazil,19.10
1867,Campinas,Brazil,19.21
1868,Campinas,Brazil,20.16
1869,Campinas,Brazil,20.01
1870,Campinas,Brazil,20.03
1871,Campinas,Brazil,19.65
1872,Campinas,Brazil,19.63
1873,Campinas,Brazil,19.84
1874,Campinas,Brazil,19.07
1875,Campinas,Brazil,18.76
1876,Campinas,Brazil,19.00
1877,Campinas,Brazil,19.83
1878,Campinas,Brazil,20.02
1879,Campinas,Brazil,18.78
1880,Campinas,Brazil,19.73
1881,Campinas,Brazil,19.23
1882,Campinas,Brazil,18.62
1883,Campinas,Brazil,18.93
1884,Campinas,Brazil,18.86
1885,Campinas,Brazil,19.80
1886,Campinas,Brazil,18.93
1887,Campinas,Brazil,19.45
1888,Campinas,Brazil,20.12
1889,Campinas,Brazil,20.03
1890,Campinas,Brazil,19.17
1891,Campinas,Brazil,19.56
1892,Campinas,Brazil,19.17
1893,Campinas,Brazil,18.49
1894,Campinas,Brazil,19.48
1895,Campinas,Brazil,19.43
1896,Campinas,Brazil,19.45
1897,Campinas,Brazil,19.51
1898,Campinas,Brazil,19.54
1899,Campinas,Brazil,20.09
1900,Campinas,Brazil,19.71
1901,Campinas,Brazil,19.15
1902,Campinas,Brazil,19.87
1903,Campinas,Brazil,19.44
1904,Campinas,Brazil,19.02
1905,Campinas,Brazil,19.61
1906,Campinas,Brazil,19.49
1907,Campinas,Brazil,19.18
1908,Campinas,Brazil,19.22
1909,Campinas,Brazil,18.98
1910,Campinas,Brazil,19.15
1911,Campinas,Brazil,19.02
1912,Campinas,Brazil,19.32
1913,Campinas,Brazil,19.72
1914,Campinas,Brazil,20.37
1915,Campinas,Brazil,20.12
1916,Campinas,Brazil,19.53
1917,Campinas,Brazil,18.43
1918,Campinas,Brazil,19.24
1919,Campinas,Brazil,19.88
1920,Campinas,Brazil,19.56
1921,Campinas,Brazil,19.37
1922,Campinas,Brazil,19.85
1923,Campinas,Brazil,19.58
1924,Campinas,Brazil,19.13
1925,Campinas,Brazil,19.52
1926,Campinas,Brazil,19.78
1927,Campinas,Brazil,19.56
1928,Campinas,Brazil,20.08
1929,Campinas,Brazil,19.70
1930,Campinas,Brazil,20.09
1931,Campinas,Brazil,19.35
1932,Campinas,Brazil,20.18
1933,Campinas,Brazil,18.97
1934,Campinas,Brazil,19.87
1935,Campinas,Brazil,19.73
1936,Campinas,Brazil,20.01
1937,Campinas,Brazil,19.50
1938,Campinas,Brazil,19.83
1939,Campinas,Brazil,19.93
1940,Campinas,Brazil,20.35
1941,Campinas,Brazil,20.18
1942,Campinas,Brazil,19.68
1943,Campinas,Brazil,19.63
1944,Campinas,Brazil,19.99
1945,Campinas,Brazil,19.57
1946,Campinas,Brazil,19.91
1947,Campinas,Brazil,19.25
1948,Campinas,Brazil,19.64
1949,Campinas,Brazil,19.40
1950,Campinas,Brazil,19.85
1951,Campinas,Brazil,19.32
1952,Campinas,Brazil,19.91
1953,Campinas,Brazil,19.96
1954,Campinas,Brazil,20.20
1955,Campinas,Brazil,19.55
1956,Campinas,Brazil,19.26
1957,Campinas,Brazil,19.67
1958,Campinas,Brazil,20.33
1959,Campinas,Brazil,20.49
1960,Campinas,Brazil,19.68
1961,Campinas,Brazil,20.57
1962,Campinas,Brazil,19.09
1963,Campinas,Brazil,20.40
1964,Campinas,Brazil,19.25
1965,Campinas,Brazil,20.00
1966,Campinas,Brazil,20.13
1967,Campinas,Brazil,20.16
1968,Campinas,Brazil,19.16
1969,Campinas,Brazil,20.14
1970,Campinas,Brazil,20.06
1971,Campinas,Brazil,19.78
1972,Campinas,Brazil,20.13
1973,Campinas,Brazil,20.21
1974,Campinas,Brazil,19.67
1975,Campinas,Brazil,19.82
1976,Campinas,Brazil,19.48
1977,Campinas,Brazil,20.84
1978,Campinas,Brazil,19.94
1979,Campinas,Brazil,19.68
1980,Campinas,Brazil,20.28
1981,Campinas,Brazil,19.90
1982,Campinas,Brazil,19.95
1983,Campinas,Brazil,20.06
1984,Campinas,Brazil,20.56
1985,Campinas,Brazil,20.07
1986,Campinas,Brazil,20.49
1987,Campinas,Brazil,20.34
1988,Campinas,Brazil,19.93
1989,Campinas,Brazil,19.66
1990,Campinas,Brazil,20.29
1991,Campinas,Brazil,20.13
1992,Campinas,Brazil,20.21
1993,Campinas,Brazil,20.49
1994,Campinas,Brazil,20.77
1995,Campinas,Brazil,20.61
1996,Campinas,Brazil,20.18
1997,Campinas,Brazil,20.77
1998,Campinas,Brazil,20.71
1999,Campinas,Brazil,20.04
2000,Campinas,Brazil,20.32
2001,Campinas,Brazil,20.96
2002,Campinas,Brazil,21.30
2003,Campinas,Brazil,20.76
2004,Campinas,Brazil,20.05
2005,Campinas,Brazil,20.78
2006,Campinas,Brazil,20.60
2007,Campinas,Brazil,20.93
2008,Campinas,Brazil,20.22
2009,Campinas,Brazil,20.78
2010,Campinas,Brazil,20.72
2011,Campinas,Brazil,20.33
2012,Campinas,Brazil,21.02
2013,Campinas,Brazil,20.07
